nppes_provider_city,counts,nppes_provider_zip5,total_claim_count,brand_claim_count,generic_claim_count,brand_drug_cost,generic_drug_cost,total_drug_cost,total_30_day_fill_count,total_day_supply,bene_count,brand_percent_spending,Index
ST JOHNSVILLE,3,40356.0,5979,1184.0,4620.0,294607.02,119645.70999999999,454222.06,7965.2,216324,390.0,0.7111770150555194,5552
NORTH PORT,55,1885802.0,146543,19645.0,122077.0,7093215.86,2880555.8300000005,10855825.66,281775.4,7986300,15510.0,0.711186909071908,5553
SARDINIA,4,180684.0,15441,2367.0,12800.0,686505.31,278768.17000000004,978998.48,26194.199999999997,760245,796.0,0.7112029121529372,5554
EIGHTY FOUR,2,30660.0,9982,1569.0,8157.0,375506.1,152469.33,537307.17,15557.7,423536,469.0,0.7112188913790932,5555
ABERDEEN,343,20847183.0,571097,84064.0,469296.0,24987281.050000004,10143790.509999998,41195812.389999986,859764.3000000003,23659831,52014.0,0.7112587217080606,5556
MERRILL,44,2433254.0,77426,12422.0,63286.0,3181419.41,1291420.7200000002,4607575.029999999,130888.90000000001,3675741,6255.0,0.7112750104037364,5557
TINLEY PARK,165,9979285.0,206185,30975.0,166875.0,11746005.779999997,4767023.369999998,21454790.800000016,326969.8,8823239,22125.0,0.7113174495910098,5558
SULLIVAN,75,4371285.0,307324,49827.0,250208.0,12875583.44,5224293.3999999985,19563963.110000003,409201.4999999999,11252039,17769.0,0.7113630415178008,5559
MULESHOE,14,1110858.0,41880,7610.0,33492.0,1486708.19,603112.2999999999,2134005.35,56962.0,1526426,2027.0,0.7114047340975206,5560
OSCODA,16,780000.0,57562,8183.0,48229.0,3012530.92,1222061.3,4327671.199999999,110798.20000000001,3203633,4890.0,0.7114099217799064,5561
CRAWFORDSVILLE,61,2923913.0,143462,24185.0,116044.0,6131919.799999999,2487150.31,8832268.599999998,241590.4,6756306,10790.0,0.711436352383958,5562
BURKESVILLE,16,683472.0,87041,15614.0,69922.0,3278965.0899999994,1329960.2100000002,4694934.9799999995,95545.69999999998,2599253,4261.0,0.7114381068402215,5563
SUNSET,8,578103.0,55330,8068.0,46696.0,1844236.27,747983.2699999999,2606109.32,71718.6,2012524,2974.0,0.7114506474247162,5564
CASA GRANDE,181,15412426.0,337559,54097.0,271631.0,15446895.629999997,6264861.959999999,24668846.300000012,569371.7000000001,16173156,41077.0,0.7114530256691208,5565
ENOLA,24,408600.0,42865,5797.0,35203.0,2206640.35,894889.6199999998,3451180.2800000003,83317.9,2417024,4188.0,0.7114683305800847,5566
EDISTO ISLAND,2,58876.0,2519,418.0,2055.0,151776.9,61549.82,216574.06,6073.2,177631,246.0,0.7114762745145099,5567
LUGOFF,32,930496.0,138910,20772.0,116735.0,5836814.130000002,2366942.909999999,8298394.529999999,215603.6,6073953,8763.0,0.7114806181534602,5568
ELLENTON,20,684440.0,23019,2971.0,19050.0,1023591.84,415047.88,1561448.0899999999,48054.6,1362364,3651.0,0.7114997770254807,5569
MENDENHALL,13,508482.0,47474,6085.0,40255.0,1635594.34,663162.3699999999,2401609.4800000004,59639.7,1661091,3071.0,0.7115125897772802,5570
SPANISH FORK,55,4656300.0,57778,8285.0,47462.0,2815121.1900000004,1141149.3399999999,4140443.22,92377.6,2546881,5772.0,0.7115593255449092,5571
DODGEVILLE,30,1605990.0,28119,4200.0,22536.0,1179244.66,477926.95,1875817.19,49159.4,1343024,2971.0,0.7116008100090491,5572
DONALSONVILLE,18,717210.0,70353,9023.0,60460.0,2771389.43,1123165.3699999999,3921934.78,93346.90000000001,2533590,3073.0,0.711606222616254,5573
MANNING,73,2325623.0,181179,27672.0,149135.0,7181372.379999999,2910271.199999999,10848633.030000001,242795.49999999997,6798664,14479.0,0.7116157366310791,5574
HOLMES,7,120277.0,20633,3033.0,17431.0,1069135.4499999997,433185.23,1510049.7800000003,25860.199999999997,753181,969.0,0.7116559495140544,5575
RARITAN,20,177380.0,27834,4944.0,21562.0,1463186.87,592756.7000000001,2285941.5100000002,52776.8,1499542,3124.0,0.7116862988608194,5576
ENNIS,48,3497982.0,90314,13562.0,74273.0,4073265.79,1650119.5400000005,6011780.989999998,152198.8,4290411,8007.0,0.7116881976562637,5577
BUDE,1,39630.0,15370,2655.0,12649.0,425630.34,172408.99,599964.91,18504.9,491262,515.0,0.7117096128109166,5578
CENTER POINT,16,631432.0,16154,2274.0,13097.0,642273.4400000001,260121.57,973437.19,31244.000000000004,882328,1384.0,0.711743120122085,5579
MOUNT BETHEL,3,55029.0,20653,3340.0,17012.0,916532.11,371179.76,1299617.01,32791.4,918234,1025.0,0.7117524745656029,5580
POMEROY,25,1519271.0,41049,5975.0,33261.0,1473181.3599999996,596565.0900000001,2270294.14,55692.29999999999,1549306,3825.0,0.7117689995313193,5581
KING WILLIAM,2,46172.0,5666,881.0,4727.0,238465.04,96560.92000000001,337358.7,10290.0,293774,695.0,0.7117807825996528,5582
MAURICE,6,403811.0,13353,1982.0,11173.0,473993.11,191900.42,700144.05,18415.5,516407,974.0,0.7118151606008245,5583
MC CALLA,8,280888.0,29731,4297.0,25073.0,1184210.61,479374.75,1673367.57,43286.9,1237389,1643.0,0.7118424088560145,5584
RANDOLPH,185,1482502.0,209235,32143.0,166823.0,11461581.139999999,4639149.380000003,18785613.360000007,330302.7000000001,9049300,19850.0,0.7118671494913014,5585
